ID,Author,DateTimeStamp,Body,Thread,PostsInThread
5275,Jenine Stanley,2016-06-10 14:05:48.452166440,"Sadly, this new update didn’t effect my issue with web pages at all, not that it was supposed to do so, but I was hopeful. I too don’t use the grammar feature but I love the spell check sound. Saves me a lot of time on email creation. Jenine Stanleydragonwalker64@...",2016.2.1,30
5276,mk360,2016-06-10 14:09:31.855807205,"Same here, the gramar usually doesn't works correctly, but the sound is a good feedbak for me.Regards,mk.",2016.2.1,30
5277,valiant8086,2016-06-10 14:12:07.351868682,"Hi.I don't know how uninstalling CCleaner could have caused this. Try uninstalling speakDropbox and then installing the latest version again. You don't need to manually delete folders or anything like that. The goal of reinstallation is to get it to re-add the dll files that handle speech in the hopes that'll straighten it out. Another possible explanation would be that it thinks you have other screen readers running too, although in that case it probably would still default to JAWS as highest priority. Have you rebooted the computer yet?Cheers, Aaron Spears, general Partner - Valiant Galaxy Associates Developing ""very good audiogames"" for the blind community http://valiantGalaxy.com Sent with Thunderbird 45.1.1 portable",2016.2.1,30
5307,zahra,2016-06-11 02:28:24.775277066,"hi.uninstall it like the other programs in control panel.ad or remove programs or something like this, in the newer versions of windows.",2016.2.1,30
5339,Rosemarie Chavarria,2016-06-11 21:17:36.521179976,In the newer versions of windows it's called programs and features.,2016.2.1,30
5340,Arlene,2016-06-11 22:33:03.536786556,Hi is that the same for windows ten? Or is it called something else?,2016.2.1,30
5347,Ryan Mann,2016-06-12 03:08:07.768156046,"Yes, it is called Programs and Features in Windows 10 as well.Sent from my iPhone",2016.2.1,30
5351,Arlene,2016-06-12 04:30:56.549816683,"Oh it is? Oh wow. so, it's simular to 7 and apple.",2016.2.1,30
5388,David Moore,2016-06-12 20:48:51.576197178,"Hi,Yes, the best way to get to programs and features in win10 is to press Windows+X and arrow to it, or it might be the first choice you get to. By the way, if you right click on the start icon, you will get the same choices as pressing Windows+X. Take care.",2016.2.1,30
5391,Arlene,2016-06-12 21:22:59.757756916,"Oh, okay. different from 7!",2016.2.1,30
5400,Semirhage,2016-06-13 05:29:24.156196811,"So when NVDA wants to update and the updates are more toward win 10, if one is still using win 7 should one not risk the nvda updates?I'm friends with the monster that's under my bed.I get along with the voices inside of my head.",2016.2.1,30
5406,Clare Page,2016-06-13 10:12:02.279798256,"Hi!Here's my answer to your question, Semirhage , and I hope others will agree with me.Even though some things in NVDA updates may help Windows 10 users, NVDA is still compatible with all Windows versions from XP onwards, so plenty of improvements to NVDA arriving in each update will work on Windows 7 as well. I use Windows 7 here, and updating NVDA has never caused any extra problems for me, so any Windows 7 user can still safely install NVDA updates, given that many of the changes benefit all of us, not just Windows 10 users.Bye for now!From Clare",2016.2.1,30
5407,Semirhage,2016-06-13 10:20:56.833211932,"Thanks, Clare. I feel good about updating now. I appreciate the explanation.SemI'm friends with the monster that's under my bed.I get along with the voices inside of my head.",2016.2.1,30
5411,Gene,2016-06-13 14:15:03.267812291,"I've almost never done an NVDA Upgrade using the 
automatic upgrader.  The reawson is that it is an example of what I 
consider excessive automation.  If I'm wrong, I hope to be corrected but as 
I understand it the update installs over the current version and doesn't keep 
the current version's installation file.  That makes going back far too 
inconvenient if someone wants to.  I strongly believe that the updater 
should ask where you want the current exe file if you want to revert.  You 
should be able to update and still be able to go back easily.  That ability 
might make people far more willing to upgrade.
 
There may be different ways the NVDA designers want 
to have the upgrade work but I strongly believe that until such a system is 
introduced, that people keep a copy of their current installer so they can 
revert without worrying about where to find it.  
 
Gene

----- Original Message",2016.2.1,30
5412,Clare Page,2016-06-13 16:21:26.643871107,"Hi !I can see where you’re coming from, Gene, but using the automatic upgrader doesn’t necessarily mean you’ll never be able to get hold of older versions of NVDA again.I mostly download the .exe file of each new NVDA version before using that installer to upgrade my NVDA, but, if I choose to use the automatic upgrader instead, I still download the installer from the NVAccess site afterwards, then I will have it for future use if I need it. I’ve been lucky not to have had to downgrade NVDA, but I still like to have the old installers available on my computer in case I ever need them. That’s just the way I do thins, it’s up to others how they choose to update their NVDA.Bye for now!From Clare",2016.2.1,30
5413,Gene,2016-06-13 16:32:51.845492044,"I didin't say you couldn't get the previous 
version.  But most people probably won't.  If you just use the 
automatic upgrader, you won't have it. My point is that if NVDA is going to have 
an upgrader, it should gbe part of the upgrade to save the current exe file or 
to offer to save it.  
 
Gene",2016.2.1,30
5414,Antony Stone,2016-06-13 16:35:48.851594658,How many other applications which offer automated upgrades allow you to revert to the previous version afterwards?  I cannot think of a single one.Antony.,2016.2.1,30
5415,Arlene,2016-06-13 17:37:23.874741652,I do that as well. I get the full version from the site. Should I ever want to go back. I will use the updater and if I don’t like the new version. I can roll back to the previous version.,2016.2.1,30
5418,Gene,2016-06-13 19:32:58.733556965,"I don't know but the number that do isn't 
relevant.  People should be easily able to revert if the upgrade has a 
problem.  Also, in the case of JAWS, you can have as many copies on your 
machine as you want.  In other words, you can have as many previous 
versions as you wish.  I don't think you can if you upgrade automatically 
but if that's correct, then that's a good reason not to use the automatic 
upgrader.  It has long been standard advice that if you do a full version 
upgrade of JAWS, that you keep the old version on your machine until you have 
used the new one enough to evaluate it.
 
Gene",2016.2.1,30
5419,Chris Shook,2016-06-13 19:35:40.643883452,"JAWS sure doesn't and the other screen reader I use, System Access doesn't either.",2016.2.1,30
5421,Chris Shook,2016-06-13 19:48:00.696459959,"Just curious, are you the same Gene that is the list moderator.",2016.2.1,30
5423,Kenny Dog,2016-06-13 20:24:29.070947856,Hi ChrisI could not see any message under neath yours to see which Gene you were referring to and what the question was.as far as I know there is only two Genes on this list. One is now the admin who runs or helps keep the list in line and I am the other Gene. I am the one from New Zealand so when I sign off a email it is Gene nzI am also the Gene who has been putting together the following website called Accessibility Central.net which can be found at http://www.accessibilitycentral.netThe web site covers blindness related stuffas well as NVDA tutorials that I have been putting together.  Those tutorials are for a desk top computer of which I use so no lap top commands.Hope  it helps to sort us out.Gene nz,2016.2.1,30
5424,Kenny Dog,2016-06-13 20:25:29.111639943,Hi ChrisI could not see any message under neath yours to see which Gene you were referring to and what the question was.as far as I know there is only two Genes on this list. One is now the admin who runs or helps keep the list in line and I am the other Gene. I am the one from New Zealand so when I sign off a email it is Gene nzI am also the Gene who has been putting together the following website called Accessibility Central.net which can be found at http://www.accessibilitycentral.netThe web site covers blindness related stuffas well as NVDA tutorials that I have been putting together.  Those tutorials are for a desk top computer of which I use so no lap top commands.Hope  it helps to sort us out.Gene nz,2016.2.1,30
5428,Arlene,2016-06-13 22:17:29.471264021,Hi I’ve done that with Jaws. I’ve had one old version and one new. I just keep 2 copies of it. With NVDA I just install over the original copy. If I had 3 copies of the same screan reader. I get rid of the oldest version!,2016.2.1,30
5429,Quentin Christensen,2016-06-13 22:32:15.179060500,"It's an interesting idea.Without talking to anyone else, the first thing that comes to mind, whether or not this is ever implemented, is please do let us know if there is a big problem with any release / program, to ensure we can fix it for the next release (or an interim release as we did with 2016.2.1).RegardsQuentin.",2016.2.1,30
5439,Gene,2016-06-14 01:30:02.793016564,"There is no way to know who you are asking.  
You don't identify the message in any way, you don't quote any of the message 
and since there are two Genes, we have no idea who you are asking about since 
you don't name the person.  
 
Also, It may have been on another list but you 
asked someone who uses a certain synthesizer.  Please just ask the 
question.  Others may be interested in the question and answer.  

 
Gene",2016.2.1,30
5445,Kwork,2016-06-14 04:08:36.319661446,"﻿



Gene, I agree. Even if I do the automatic update, I 
always make sure to also go get the latest installation file as well, and will 
keep at least the two most recent ones until I know I'm quite happy with the 
update. A bit more user control would be nice during the auto 
update.
Travis",2016.2.1,30
5446,Kwork,2016-06-14 04:10:21.134171847,"Not enough, that's for sure, so my comments on the NVDA apply to all applications that deny that much user control.Oh, the new weather plus ad-on does ask where you want to save the file when updating. Very very nice.Travis",2016.2.1,30
5447,Kwork,2016-06-14 04:12:52.736523256,"Gene, I think minor upgrades will overwrite each 
other when using the Jaws auto updater. I'm not sure if the auto even works on 
major upgrades that count against a person's SMA. I think it just tells you that 
there is no update to your currently installed version of Jaws.
Travis",2016.2.1,30
5448,zahra,2016-06-14 05:47:39.866731623,"hi.for answering your question,i only know nvda, firefox and also notepad plus plus which allow thereusers to revert to the previous versions.",2016.2.1,30
41799,Brian's Mail list account,2018-06-16 11:33:58.890491719,"I wanted to share a folder today, but it seems on the current version this dialogue no longer works with nvda either. it just is a blank page saying its the shaere with another user item, but just like the preferences and the delete from all machines and devices one its totally empty of any controls that read at all.Anyone care to comment?If its also happening in windows 10 maybe we can write en masse to Dropbox to get them to correct this.Brianbglists@...Sent via blueyonder.Please address personal E-mail to:-briang1@..., putting 'Brian Gaff'in the display name field.",Dropbox innaccessibility again,30
